State,Year,Value
Maryland,2024,90203
District of Columbia,2024,90088
Massachusetts,2024,89645
New Jersey,2024,89296
New Hampshire,2024,88465
California,2024,84907
Hawaii,2024,84857
Washington,2024,84247
Connecticut,2024,83771
Colorado,2024,82254
Virginia,2024,80963
Utah,2024,79449
Alaska,2024,77845
Minnesota,2024,77720
New York,2024,74314
Rhode Island,2024,74008
Vermont,2024,72431
Illinois,2024,72205
Oregon,2024,71562
Delaware,2024,71091
Arizona,2024,69056
Pennsylvania,2024,68957
Wisconsin,2024,67125
Texas,2024,66963
Nebraska,2024,66817
Georgia,2024,66559
North Dakota,2024,66519
Idaho,2024,66474
Nevada,2024,66274
South Dakota,2024,66143
Iowa,2024,65600
Wyoming,2024,65204
Maine,2024,64767
Kansas,2024,64124
Michigan,2024,63498
Montana,2024,63249
Florida,2024,63062
Indiana,2024,62743
Ohio,2024,62262
North Carolina,2024,61972
Missouri,2024,61847
Tennessee,2024,59695
South Carolina,2024,59318
Oklahoma,2024,55826
Kentucky,2024,55573
New Mexico,2024,53992
Alabama,2024,53913
Arkansas,2024,52528
Louisiana,2024,52087
West Virginia,2024,51248
Mississippi,2024,48716
Alabama,2023,60660
Alaska,2023,98190
Arizona,2023,82660
Arkansas,2023,63250
California,2023,89870
Colorado,2023,96640
Connecticut,2023,92240
Delaware,2023,86340
District of Columbia,2023,111000
Florida,2023,72200
Georgia,2023,72420
Hawaii,2023,97360
Idaho,2023,73910
Illinois,2023,87820
Indiana,2023,76910
Iowa,2023,80860
Kansas,2023,84830
Kentucky,2023,61980
Louisiana,2023,57650
Maine,2023,75740
Maryland,2023,102000
Massachusetts,2023,106500
Michigan,2023,76960
Minnesota,2023,90340
Mississippi,2023,55060
Missouri,2023,78290
Montana,2023,79220
Nebraska,2023,89190
Nevada,2023,81310
New Hampshire,2023,98780
New Jersey,2023,91590
New Mexico,2023,60980
New York,2023,81600
North Carolina,2023,68610
North Dakota,2023,76960
Ohio,2023,73770
Oklahoma,2023,67330
Oregon,2023,88740
Pennsylvania,2023,79820
Rhode Island,2023,81860
South Carolina,2023,69100
South Dakota,2023,81740
Tennessee,2023,72700
Texas,2023,79060
Utah,2023,101200
Vermont,2023,85190
Virginia,2023,96490
Washington,2023,93440
West Virginia,2023,60410
Wisconsin,2023,79690
Wyoming,2023,77200
Alabama,2022,62290
Alaska,2022,93310
Arizona,2022,76370
Arkansas,2022,56120
California,2022,88690
Colorado,2022,93510
Connecticut,2022,94340
Delaware,2022,83960
District of Columbia,2022,105700
Florida,2022,67960
Georgia,2022,70420
Hawaii,2022,94620
Idaho,2022,75460
Illinois,2022,81120
Indiana,2022,72810
Iowa,2022,79350
Kansas,2022,75950
Kentucky,2022,58090
Louisiana,2022,60640
Maine,2022,78150
Maryland,2022,112500
Massachusetts,2022,97260
Michigan,2022,71730
Minnesota,2022,93980
Mississippi,2022,50540
Missouri,2022,74360
Montana,2022,75870
Nebraska,2022,81480
Nevada,2022,75200
New Hampshire,2022,88350
New Jersey,2022,96010
New Mexico,2022,58660
New York,2022,78920
North Carolina,2022,67660
North Dakota,2022,81840
Ohio,2022,70200
Oklahoma,2022,65960
Oregon,2022,90230
Pennsylvania,2022,75070
Rhode Island,2022,83860
South Carolina,2022,64220
South Dakota,2022,69850
Tennessee,2022,67980
Texas,2022,77600
Utah,2022,99610
Vermont,2022,75060
Virginia,2022,88550
Washington,2022,92980
West Virginia,2022,54540
Wisconsin,2022,76240
Wyoming,2022,76000
Alabama,2021,63750
Alaska,2021,90850
Arizona,2021,79310
Arkansas,2021,56870
California,2021,91350
Colorado,2021,95130
Connecticut,2021,90660
Delaware,2021,76920
District of Columbia,2021,101500
Florida,2021,66890
Georgia,2021,68860
Hawaii,2021,92050
Idaho,2021,86130
Illinois,2021,88750
Indiana,2021,78600
Iowa,2021,81110
Kansas,2021,85080
Kentucky,2021,62290
Louisiana,2021,64060
Maine,2021,79660
Maryland,2021,109000
Massachusetts,2021,96940
Michigan,2021,72210
Minnesota,2021,90080
Mississippi,2021,52230
Missouri,2021,71210
Montana,2021,72790
Nebraska,2021,87470
Nevada,2021,72050
New Hampshire,2021,99490
New Jersey,2021,99170
New Mexico,2021,59870
New York,2021,81660
North Carolina,2021,70430
North Dakota,2021,77140
Ohio,2021,70200
Oklahoma,2021,67300
Oregon,2021,91660
Pennsylvania,2021,81330
Rhode Island,2021,83970
South Carolina,2021,70040
South Dakota,2021,82750
Tennessee,2021,69610
Texas,2021,75480
Utah,2021,98150
Vermont,2021,85190
Virginia,2021,89890
Washington,2021,98150
West Virginia,2021,52450
Wisconsin,2021,78320
Wyoming,2021,79570
Alabama,2020,63980
Alaska,2020,87440
Arizona,2020,78480
Arkansas,2020,59400
California,2020,90840
Colorado,2020,98010
Connecticut,2020,92930
Delaware,2020,81920
District of Columbia,2020,103200
Florida,2020,67570
Georgia,2020,69330
Hawaii,2020,94560
Idaho,2020,78060
Illinois,2020,86960
Indiana,2020,78150
Iowa,2020,80510
Kansas,2020,85500
Kentucky,2020,66400
Louisiana,2020,59880
Maine,2020,74510
Maryland,2020,110900
Massachusetts,2020,102700
Michigan,2020,75330
Minnesota,2020,92130
Mississippi,2020,52800
Missouri,2020,72740
Montana,2020,66380
Nebraska,2020,84520
Nevada,2020,71550
New Hampshire,2020,104000
New Jersey,2020,100100
New Mexico,2020,59550
New York,2020,80320
North Carolina,2020,70700
North Dakota,2020,75010
Ohio,2020,70640
Oklahoma,2020,61380
Oregon,2020,89910
Pennsylvania,2020,82810
Rhode Island,2020,93790
South Carolina,2020,70590
South Dakota,2020,82110
Tennessee,2020,64310
Texas,2020,80020
Utah,2020,98260
Vermont,2020,78680
Virginia,2020,96180
Washington,2020,95180
West Virginia,2020,60800
Wisconsin,2020,78860
Wyoming,2020,76570
Alabama,2019,66430
Alaska,2019,92670
Arizona,2019,83540
Arkansas,2019,64470
California,2019,92330
Colorado,2019,85700
Connecticut,2019,103200
Delaware,2019,87700
District of Columbia,2019,110100
Florida,2019,69000
Georgia,2019,66940
Hawaii,2019,104000
Idaho,2019,78000
Illinois,2019,87950
Indiana,2019,78840
Iowa,2019,78080
Kansas,2019,86470
Kentucky,2019,65800
Louisiana,2019,61120
Maine,2019,78660
Maryland,2019,113000
Massachusetts,2019,103700
Michigan,2019,75790
Minnesota,2019,96250
Mississippi,2019,52940
Missouri,2019,71630
Montana,2019,71150
Nebraska,2019,86370
Nevada,2019,83820
New Hampshire,2019,102700
New Jersey,2019,103700
New Mexico,2019,62780
New York,2019,84940
North Carolina,2019,72290
North Dakota,2019,82780
Ohio,2019,76440
Oklahoma,2019,70210
Oregon,2019,87960
Pennsylvania,2019,83430
Rhode Island,2019,82920
South Carolina,2019,73320
South Dakota,2019,75950
Tennessee,2019,66940
Texas,2019,79720
Utah,2019,99910
Vermont,2019,87830
Virginia,2019,96120
Washington,2019,97470
West Virginia,2019,63480
Wisconsin,2019,79620
Wyoming,2019,76990
Alabama,2018,49936
Alaska,2018,68734
Arizona,2018,62283
Arkansas,2018,49781
California,2018,70489
Colorado,2018,73034
Connecticut,2018,72812
Delaware,2018,65012
D.C.,2018,85750
Florida,2018,54644
Georgia,2018,55821
Hawaii,2018,80108
Idaho,2018,58728
Illinois,2018,70145
Indiana,2018,59892
Iowa,2018,68718
Kansas,2018,63938
Kentucky,2018,54555
Louisiana,2018,49973
Maine,2018,58663
Maryland,2018,86223
Massachusetts,2018,86345
Michigan,2018,60449
Minnesota,2018,71817
Mississippi,2018,42781
Missouri,2018,61726
Montana,2018,57679
Nebraska,2018,67575
Nevada,2018,61864
New Hampshire,2018,81346
New Jersey,2018,74176
New Mexico,2018,48283
New York,2018,67274
North Carolina,2018,53369
North Dakota,2018,66505
Ohio,2018,61633
Oklahoma,2018,54434
Oregon,2018,69165
Pennsylvania,2018,64524
Rhode Island,2018,62266
South Carolina,2018,57444
South Dakota,2018,59463
Tennessee,2018,56060
Texas,2018,59785
Utah,2018,77067
Vermont,2018,70066
Virginia,2018,77151
Washington,2018,79726
West Virginia,2018,50573
Wisconsin,2018,62629
Wyoming,2018,62539
Alabama,2017,50865
Alaska,2017,77987
Arizona,2017,59700
Arkansas,2017,49751
California,2017,70038
Colorado,2017,74984
Connecticut,2017,74304
Delaware,2017,64961
D.C.,2017,81282
Florida,2017,53086
Georgia,2017,57985
Hawaii,2017,73599
Idaho,2017,59497
Illinois,2017,65969
Indiana,2017,58767
Iowa,2017,63467
Kansas,2017,56900
Kentucky,2017,49672
Louisiana,2017,43565
Maine,2017,53316
Maryland,2017,82093
Massachusetts,2017,76243
Michigan,2017,56405
Minnesota,2017,69975
Mississippi,2017,43281
Missouri,2017,56530
Montana,2017,57407
Nebraska,2017,59583
Nevada,2017,58041
New Hampshire,2017,75630
New Jersey,2017,71240
New Mexico,2017,45601
New York,2017,61543
North Carolina,2017,49547
North Dakota,2017,60167
Ohio,2017,60688
Oklahoma,2017,51882
Oregon,2017,62498
Pennsylvania,2017,61285
Rhode Island,2017,65401
South Carolina,2017,54537
South Dakota,2017,56914
Tennessee,2017,55306
Texas,2017,60092
Utah,2017,69789
Vermont,2017,63682
Virginia,2017,70811
Washington,2017,71540
West Virginia,2017,46957
Wisconsin,2017,63482
Wyoming,2017,59536
Alabama,2017,51113
Alaska,2017,72231
Arizona,2017,61125
Arkansas,2017,48829
California,2017,69759
Colorado,2017,74172
Connecticut,2017,72780
Delaware,2017,62318
D.C.,2017,83382
Florida,2017,53681
Georgia,2017,57016
Hawaii,2017,73575
Idaho,2017,60208
Illinois,2017,64609
Indiana,2017,58873
Iowa,2017,63481
Kansas,2017,57872
Kentucky,2017,51348
Louisiana,2017,43903
Maine,2017,51664
Maryland,2017,81084
Massachusetts,2017,73227
Michigan,2017,57700
Minnesota,2017,71920
Mississippi,2017,43441
Missouri,2017,56885
Montana,2017,59087
Nebraska,2017,59619
Nevada,2017,56550
New Hampshire,2017,74801
New Jersey,2017,72997
New Mexico,2017,47855
New York,2017,62447
North Carolina,2017,50343
North Dakota,2017,59886
Ohio,2017,59768
Oklahoma,2017,55006
Oregon,2017,64610
Pennsylvania,2017,63173
Rhode Island,2017,66390
South Carolina,2017,54971
South Dakota,2017,56894
Tennessee,2017,55240
Texas,2017,59295
Utah,2017,71319
Vermont,2017,63805
Virginia,2017,71293
Washington,2017,75418
West Virginia,2017,45392
Wisconsin,2017,63451
Wyoming,2017,57837
Alabama,2016,47221
Alaska,2016,75723
Arizona,2016,57100
Arkansas,2016,45907
California,2016,66637
Colorado,2016,70566
Connecticut,2016,75923
Delaware,2016,58046
D.C.,2016,70982
Florida,2016,51176
Georgia,2016,53527
Hawaii,2016,72133
Idaho,2016,56564
Illinois,2016,61386
Indiana,2016,56094
Iowa,2016,59094
Kansas,2016,56810
Kentucky,2016,45369
Louisiana,2016,42196
Maine,2016,50856
Maryland,2016,73760
Massachusetts,2016,72266
Michigan,2016,57091
Minnesota,2016,70218
Mississippi,2016,41099
Missouri,2016,55016
Montana,2016,57075
Nebraska,2016,59374
Nevada,2016,55431
New Hampshire,2016,76260
New Jersey,2016,68468
New Mexico,2016,48451
New York,2016,61437
North Carolina,2016,53764
North Dakota,2016,60184
Ohio,2016,53985
Oklahoma,2016,50943
Oregon,2016,59135
Pennsylvania,2016,60979
Rhode Island,2016,61528
South Carolina,2016,54336
South Dakota,2016,57450
Tennessee,2016,51344
Texas,2016,58146
Utah,2016,67481
Vermont,2016,60837
Virginia,2016,66451
Washington,2016,70310
West Virginia,2016,44354
Wisconsin,2016,59817
Wyoming,2016,57829
Alabama,2015,44509
Alaska,2015,75112
Arizona,2015,52248
Arkansas,2015,42798
California,2015,63636
Colorado,2015,66596
Connecticut,2015,72889
Delaware,2015,57756
D.C.,2015,70071
Florida,2015,48825
Georgia,2015,50768
Hawaii,2015,64514
Idaho,2015,51624
Illinois,2015,60413
Indiana,2015,51983
Iowa,2015,60855
Kansas,2015,54865
Kentucky,2015,42387
Louisiana,2015,45922
Maine,2015,50756
Maryland,2015,73594
Massachusetts,2015,67861
Michigan,2015,54203
Minnesota,2015,68730
Mississippi,2015,40037
Missouri,2015,59196
Montana,2015,51395
Nebraska,2015,60474
Nevada,2015,52008
New Hampshire,2015,75675
New Jersey,2015,68357
New Mexico,2015,45119
New York,2015,58005
North Carolina,2015,50797
North Dakota,2015,57415
Ohio,2015,53301
Oklahoma,2015,47077
Oregon,2015,60834
Pennsylvania,2015,60389
Rhode Island,2015,55701
South Carolina,2015,46360
South Dakota,2015,55065
Tennessee,2015,47330
Texas,2015,56473
Utah,2015,66258
Vermont,2015,59494
Virginia,2015,61486
Washington,2015,67243
West Virginia,2015,42824
Wisconsin,2015,55425
Wyoming,2015,60925
Alabama,2014,42278
Alaska,2014,67629
Arizona,2014,49254
Arkansas,2014,44922
California,2014,60487
Colorado,2014,60940
Connecticut,2014,70161
Delaware,2014,57522
D.C.,2014,68277
Florida,2014,46140
Georgia,2014,49555
Hawaii,2014,71223
Idaho,2014,53438
Illinois,2014,54916
Indiana,2014,48060
Iowa,2014,57810
Kansas,2014,53444
Kentucky,2014,42786
Louisiana,2014,42406
Maine,2014,51710
Maryland,2014,76165
Massachusetts,2014,63151
Michigan,2014,52005
Minnesota,2014,67244
Mississippi,2014,35521
Missouri,2014,56630
Montana,2014,51102
Nebraska,2014,56870
Nevada,2014,49875
New Hampshire,2014,73397
New Jersey,2014,65243
New Mexico,2014,46686
New York,2014,54310
North Carolina,2014,46784
North Dakota,2014,60730
Ohio,2014,49644
Oklahoma,2014,47199
Oregon,2014,58875
Pennsylvania,2014,55173
Rhode Island,2014,58633
South Carolina,2014,44929
South Dakota,2014,53053
Tennessee,2014,43716
Texas,2014,53875
Utah,2014,63383
Vermont,2014,60708
Virginia,2014,66155
Washington,2014,59068
West Virginia,2014,39552
Wisconsin,2014,58080
Wyoming,2014,55690
Alabama,2013,47320
Alaska,2013,72472
Arizona,2013,52611
Arkansas,2013,39376
California,2013,60794
Colorado,2013,67912
Connecticut,2013,69291
Delaware,2013,54091
D.C.,2013,60057
Florida,2013,48532
Georgia,2013,46992
Hawaii,2013,64235
Idaho,2013,48467
Illinois,2013,53937
Indiana,2013,49455
Iowa,2013,60156
Kansas,2013,47820
Kentucky,2013,44879
Louisiana,2013,46425
Maine,2013,54957
Maryland,2013,69353
Massachusetts,2013,62529
Michigan,2013,56567
Minnesota,2013,64324
Mississippi,2013,32338
Missouri,2013,46303
Montana,2013,43201
Nebraska,2013,57623
Nevada,2013,51846
New Hampshire,2013,69099
New Jersey,2013,63754
New Mexico,2013,40166
New York,2013,49966
North Carolina,2013,46337
North Dakota,2013,59152
Ohio,2013,50748
Oklahoma,2013,46162
Oregon,2013,48999
Pennsylvania,2013,55156
Rhode Island,2013,56323
South Carolina,2013,43563
South Dakota,2013,53413
Tennessee,2013,43361
Texas,2013,51406
Utah,2013,61047
Vermont,2013,65513
Virginia,2013,65907
Washington,2013,63922
West Virginia,2013,43069
Wisconsin,2013,51726
Wyoming,2013,67441
Alabama,2013,41381
Alaska,2013,61137
Arizona,2013,50602
Arkansas,2013,39919
California,2013,57528
Colorado,2013,63371
Connecticut,2013,67781
Delaware,2013,52219
D.C.,2013,60675
Florida,2013,47886
Georgia,2013,47439
Hawaii,2013,61408
Idaho,2013,51767
Illinois,2013,57196
Indiana,2013,50553
Iowa,2013,54855
Kansas,2013,51485
Kentucky,2013,42158
Louisiana,2013,39622
Maine,2013,50121
Maryland,2013,65262
Massachusetts,2013,62963
Michigan,2013,48801
Minnesota,2013,60907
Mississippi,2013,40850
Missouri,2013,50311
Montana,2013,44132
Nebraska,2013,53774
Nevada,2013,45369
New Hampshire,2013,71322
New Jersey,2013,61782
New Mexico,2013,42127
New York,2013,53843
North Carolina,2013,41208
North Dakota,2013,52888
Ohio,2013,46398
Oklahoma,2013,43777
Oregon,2013,56307
Pennsylvania,2013,53952
Rhode Island,2013,57812
South Carolina,2013,43749
South Dakota,2013,54453
Tennessee,2013,42499
Texas,2013,53027
Utah,2013,62967
Vermont,2013,54842
Virginia,2013,67620
Washington,2013,60106
West Virginia,2013,40241
Wisconsin,2013,55258
Wyoming,2013,55700
Alabama,2012,43464
Alaska,2012,63648
Arizona,2012,47044
Arkansas,2012,39018
California,2012,57020
Colorado,2012,57255
Connecticut,2012,64247
Delaware,2012,48972
D.C.,2012,65246
Florida,2012,46071
Georgia,2012,48121
Hawaii,2012,56263
Idaho,2012,47922
Illinois,2012,51738
Indiana,2012,46158
Iowa,2012,53442
Kansas,2012,50003
Kentucky,2012,41086
Louisiana,2012,39085
Maine,2012,49158
Maryland,2012,71836
Massachusetts,2012,63656
Michigan,2012,50015
Minnesota,2012,61795
Mississippi,2012,36641
Missouri,2012,49764
Montana,2012,45088
Nebraska,2012,52196
Nevada,2012,47333
New Hampshire,2012,67819
New Jersey,2012,66692
New Mexico,2012,43424
New York,2012,47680
North Carolina,2012,41553
North Dakota,2012,55766
Ohio,2012,44375
Oklahoma,2012,48407
Oregon,2012,51775
Pennsylvania,2012,51904
Rhode Island,2012,56065
South Carolina,2012,44401
South Dakota,2012,49415
Tennessee,2012,42995
Texas,2012,51926
Utah,2012,58341
Vermont,2012,55582
Virginia,2012,64632
Washington,2012,62187
West Virginia,2012,43553
Wisconsin,2012,53079
Wyoming,2012,57512
